rosbagTimestamp,transforms,-,header,seq,stamp,secs,nsecs,frame_id,child_frame_id,transform,translation,x,y,z,rotation,x,y,z,w
1402416313316719851,,errorv,,0,,1402416313,416518731,/base_link,/gps,,,-0.84,0.0,-0.14,,0.0,0.0,0.0,1.0
1402416313316919461,,errorv,,0,,1402416313,416741778,base_link,imu,,,0.13,0.0,-0.1,,1.0,0.0,0.0,0.0
1402416313317697948,,errorv,,0,,1402416313,317503107,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416313317724985,,errorv,,0,,1402416313,317519548,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313317747357,,errorv,,0,,1402416313,317524222,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313323031577,,errorv,,0,,1402416313,247535943,/enu,/base_link,,,10.8330040446,26.540247412,-18.3434330875,,0.0212813657888,0.0160168986319,-0.606101895398,0.794940912788
1402416313323444280,,errorv,,0,,1402416313,257538080,/enu,/base_link,,,10.8379007012,26.5397536653,-18.3417572329,,0.0214832364263,0.0159826666855,-0.605009992573,0.795767512409
1402416313323467334,,errorv,,0,,1402416313,268527030,/enu,/base_link,,,10.8433041504,26.5392033224,-18.3399438957,,0.0214068177669,0.0159274095912,-0.60381730956,0.796676046115
1402416313323489644,,errorv,,0,,1402416313,279537916,/enu,/base_link,,,11.0490236335,26.3646648652,-18.0730488492,,0.023730321258,0.0253388875357,-0.601879939965,0.797831655488
1402416313337651584,,errorv,,0,,1402416313,337474253,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416313337681272,,errorv,,0,,1402416313,337494849,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313337704674,,errorv,,0,,1402416313,337501929,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313357697655,,errorv,,0,,1402416313,357453550,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416313357725607,,errorv,,0,,1402416313,357530395,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313357764753,,errorv,,0,,1402416313,357540149,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313363150230,,errorv,,0,,1402416313,289527893,/enu,/base_link,,,11.0557499976,26.3619328726,-18.070810652,,0.0235646423985,0.0253192260617,-0.600793113672,0.798655920272
1402416313363178353,,errorv,,0,,1402416313,299540042,/enu,/base_link,,,11.0624360227,26.3590872618,-18.0684328561,,0.0238489435015,0.0252848784974,-0.599693341257,0.799474702079
1402416313363202691,,errorv,,0,,1402416313,310525894,/enu,/base_link,,,11.0702008549,26.3561918453,-18.0662658835,,0.0238267492388,0.0253522915327,-0.598459848044,0.800397000003
1402416313363227084,,errorv,,0,,1402416313,320501089,/enu,/base_link,,,11.2102420973,26.2811426291,-17.9142272124,,0.0246269213182,0.0320006709988,-0.596699641402,0.801448070528
1402416313377675579,,errorv,,0,,1402416313,377495563,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416313377792065,,errorv,,0,,1402416313,377514715,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313377835251,,errorv,,0,,1402416313,377551846,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313397737995,,errorv,,0,,1402416313,397518962,base_link,/z_drive,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1402416313397768152,,errorv,,0,,1402416313,397544252,/z_drive,port,,,-0.3,0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313397792169,,errorv,,0,,1402416313,397551470,/z_drive,starboard,,,-0.3,-0.3048,0.0,,0.0,0.0,0.0,1.0
1402416313403223115,,errorv,,0,,1402416313,331500053,/enu,/base_link,,,11.2193570924,26.2765739933,-17.9114518679,,0.0249396834688,0.0320636435302,-0.595473073235,0.802347651585
1402416313403281267,,errorv,,0,,1402416313,341506958,/enu,/base_link,,,11.2277435018,26.2722674902,-17.9086879579,,0.0252478266605,0.0320363093367,-0.594343809257,0.803175982292
1402416313403301714,,errorv,,0,,1402416313,351480007,/enu,/base_link,,,11.2158772598,26.2824541255,-17.9536688271,,0.0245213464151,0.0307700761865,-0.593452699341,0.803906586381
1402416313403330506,,errorv,,0,,1402416313,362498998,/enu,/base_link,,,11.2250201982,26.2781441714,-17.9508049335,,0.0246252558572,0.0307424888287,-0.592198472991,0.804828841892
1402416313403408274,,errorv,,0,,1402416313,373470067,/enu,/base_link,,,11.2340684049,26.27395065,-17.9481211014,,0.0247228369533,0.0308063783923,-0.590956203258,0.805736007768
